學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
0001,國立政治大學,02231022,哲學系,D 日,B 學士,22,29,18,25,22,16,24,16,-,-,-,-,-,-,11,5,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,D 博士,-,2,1,3,1,2,1,-,2,2,2,4,-,2,-,-,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,M 碩士,5,12,7,11,4,10,2,14,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,B 學士,19,47,20,47,18,51,25,48,-,-,-,-,-,-,12,30,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系英語教學碩士在職專班,N 職,M 碩士,2,16,-,4,2,12,-,-,2,7,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02311011,日本語文學系,D 日,M 碩士,5,4,1,6,2,5,1,2,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02311011,日本語文學系,D 日,B 學士,11,29,13,24,7,32,6,37,-,-,-,-,-,-,7,21,30 臺北市,1 一般
0001,國立政治大學,02311012,阿拉伯語文學系,D 日,B 學士,16,29,19,23,14,28,6,30,-,-,-,-,-,-,4,6,30 臺北市,1 一般
0001,國立政治大學,02311014,韓國語文學系,D 日,M 碩士,2,7,1,6,-,3,-,2,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02311014,韓國語文學系,D 日,B 學士,6,28,4,30,6,29,3,29,-,-,-,-,-,-,4,13,30 臺北市,1 一般
0001,國立政治大學,02311015,土耳其語文學系,D 日,B 學士,10,24,10,23,7,19,7,18,-,-,-,-,-,-,2,11,30 臺北市,1 一般
0001,國立政治大學,02311016,歐洲語文學系,D 日,B 學士,13,46,21,42,10,50,11,54,-,-,-,-,-,-,11,34,30 臺北市,1 一般
0001,國立政治大學,02311017,斯拉夫語文學系,D 日,M 碩士,1,4,-,1,2,-,-,-,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02311017,斯拉夫語文學系,D 日,B 學士,8,46,15,42,22,32,16,32,-,-,-,-,-,-,10,22,30 臺北市,1 一般
0001,國立政治大學,02311087,東南亞語言與文化學士學位學程,D 日,B 學士,4,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02321007,台灣文學研究所,D 日,D 博士,-,1,-,2,1,1,1,2,-,1,-,2,1,2,-,-,30 臺北市,1 一般
0001,國立政治大學,02321007,台灣文學研究所,D 日,M 碩士,9,5,3,2,3,7,4,5,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系,D 日,D 博士,8,6,9,-,7,4,2,14,5,3,3,3,3,3,-,-,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系,D 日,M 碩士,8,20,10,15,7,28,10,7,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系,D 日,B 學士,32,49,20,59,27,59,16,63,-,-,-,-,-,-,8,27,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系國文教學碩士在職專班,N 職,M 碩士,2,14,6,19,4,20,1,5,-,5,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02399018,語言學研究所,D 日,D 博士,-,2,-,-,-,-,1,1,1,-,-,-,1,1,-,-,30 臺北市,1 一般
0001,國立政治大學,02399018,語言學研究所,D 日,M 碩士,8,5,1,4,2,6,2,3,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03111024,經濟學系,D 日,D 博士,2,1,2,-,3,-,1,-,-,1,2,-,3,1,-,-,30 臺北市,1 一般
0001,國立政治大學,03111024,經濟學系,D 日,M 碩士,26,12,25,7,1,4,2,-,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03111024,經濟學系,D 日,B 學士,48,44,48,46,46,51,65,48,-,-,-,-,-,-,15,10,30 臺北市,1 一般
0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,D 日,M 碩士,9,5,3,8,1,2,1,-,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03121026,政治學系,D 日,D 博士,2,1,5,-,2,2,3,1,4,-,4,-,4,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03121026,政治學系,D 日,M 碩士,12,10,12,7,12,8,7,6,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03121026,政治學系,D 日,B 學士,26,24,26,28,22,30,21,23,-,-,-,-,-,-,4,14,30 臺北市,1 一般
0001,國立政治大學,03121029,國際事務學院國家安全與大陸研究碩士在職專班,N 職,M 碩士,22,7,20,7,4,-,5,1,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03122045,外交學系,D 日,D 博士,1,-,1,-,2,1,1,-,1,-,1,-,1,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03122045,外交學系,D 日,M 碩士,13,18,6,13,3,5,5,7,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03122045,外交學系,D 日,B 學士,16,40,22,39,24,44,21,46,-,-,-,-,-,-,11,19,30 臺北市,1 一般
0001,國立政治大學,03122045,外交學系戰略與國際事務碩士在職專班,N 職,M 碩士,19,5,15,7,7,-,8,3,5,1,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03122046,國際研究英語碩士學位學程,D 日,M 碩士,10,13,15,8,2,3,1,2,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03131032,心理學系,D 日,D 博士,1,2,-,1,-,-,-,1,-,2,-,1,2,2,-,-,30 臺北市,1 一般
0001,國立政治大學,03131032,心理學系,D 日,M 碩士,10,15,11,11,8,16,4,13,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03131032,心理學系,D 日,B 學士,14,24,18,37,25,25,20,36,-,-,-,-,-,-,3,6,30 臺北市,1 一般
0001,國立政治大學,03131033,輔導與諮商碩士學位學程,D 日,M 碩士,4,7,3,10,2,5,-,4,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03141030,社會學系,D 日,D 博士,-,3,1,2,1,-,1,-,-,-,2,-,4,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03141030,社會學系,D 日,M 碩士,5,10,13,9,5,5,5,4,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03141030,社會學系,D 日,B 學士,22,29,13,31,17,28,10,32,-,-,-,-,-,-,12,11,30 臺北市,1 一般
0001,國立政治大學,03143023,中東與中亞研究碩士學位學程,D 日,M 碩士,2,3,2,1,2,1,-,-,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03143028,東亞研究所,D 日,D 博士,2,4,3,2,4,-,4,-,3,-,2,2,2,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03143028,東亞研究所,D 日,M 碩士,11,11,10,5,11,8,9,7,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03143036,日本研究博士學位學程,D 日,D 博士,-,2,4,1,1,1,-,-,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03143036,日本研究碩士學位學程,D 日,M 碩士,5,8,5,6,6,5,2,2,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03143038,俄羅斯研究所,D 日,M 碩士,8,6,5,3,5,3,2,2,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03143040,亞太研究英語博士學位學程,D 日,D 博士,7,6,6,4,5,3,4,1,2,3,8,2,3,1,-,-,30 臺北市,1 一般
0001,國立政治大學,03143040,亞太研究英語碩士學位學程,D 日,M 碩士,12,13,7,9,2,4,3,6,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03191047,國家發展研究所,D 日,D 博士,6,1,3,2,2,2,5,1,3,-,1,2,2,1,-,-,30 臺北市,1 一般
0001,國立政治大學,03191047,國家發展研究所,D 日,M 碩士,11,12,8,11,9,5,7,6,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03199048,勞工研究所,D 日,M 碩士,7,17,9,18,5,12,4,8,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03211049,傳播學院傳播碩士學位學程,D 日,M 碩士,22,53,17,51,21,40,8,28,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03211049,傳播學院傳播學士學位學程,D 日,B 學士,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,10,30 臺北市,1 一般
0001,國立政治大學,03211050,國際傳播英語碩士學位學程,D 日,M 碩士,2,15,3,18,2,5,1,3,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03211052,廣播電視學系,D 日,B 學士,-,-,-,-,26,49,21,53,-,-,-,-,-,-,5,17,30 臺北市,1 一般
0001,國立政治大學,03211056,傳播學院碩士在職專班,N 職,M 碩士,5,20,4,19,12,12,3,4,1,4,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03212051,新聞學系,D 日,D 博士,-,-,-,-,-,-,-,-,-,1,1,1,4,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03212051,新聞學系,D 日,B 學士,-,-,-,-,15,23,10,45,-,-,-,-,-,-,11,22,30 臺北市,1 一般
0001,國立政治大學,03222054,圖書資訊與檔案學研究所,D 日,D 博士,2,1,-,2,1,1,-,3,1,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03222054,圖書資訊與檔案學研究所,D 日,M 碩士,9,16,4,15,3,2,1,3,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03222054,圖書資訊與檔案學研究所圖書資訊學數位碩士在職專班,N 職,M 碩士,5,18,2,19,1,11,1,3,2,1,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03299056,傳播學院博士班,D 日,D 博士,5,3,3,4,2,5,-,1,-,1,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,03299056,傳播學院大一大二不分系,D 日,B 學士,43,161,56,178,-,-,-,-,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04111059,會計學系,D 日,D 博士,1,-,1,1,-,1,-,1,1,2,-,1,2,1,-,-,30 臺北市,1 一般
0001,國立政治大學,04111059,會計學系,D 日,M 碩士,25,38,22,37,8,9,3,1,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04111059,會計學系,D 日,B 學士,41,55,45,56,50,66,42,67,-,-,-,-,-,-,6,18,30 臺北市,1 一般
0001,國立政治大學,04121065,財務管理學系,D 日,D 博士,1,1,1,-,-,-,-,1,1,1,1,1,1,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04121065,財務管理學系,D 日,M 碩士,21,15,18,13,8,5,-,-,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04121065,財務管理學系,D 日,B 學士,22,24,19,28,31,15,16,33,-,-,-,-,-,-,5,5,30 臺北市,1 一般
0001,國立政治大學,04121068,金融學系,D 日,D 博士,5,1,5,-,3,1,4,-,3,1,-,2,1,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04121068,金融學系,D 日,M 碩士,33,11,18,13,7,8,1,-,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04121068,金融學系,D 日,B 學士,23,26,23,40,31,25,27,33,-,-,-,-,-,-,10,5,30 臺北市,1 一般
0001,國立政治大學,04122070,財政學系,D 日,D 博士,3,1,1,1,-,4,-,-,1,-,-,1,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04122070,財政學系,D 日,M 碩士,15,16,8,20,9,6,2,-,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04122070,財政學系,D 日,B 學士,34,53,39,59,58,51,39,68,-,-,-,-,-,-,3,11,30 臺北市,1 一般
0001,國立政治大學,04123069,風險管理與保險學系,D 日,D 博士,1,1,3,1,1,-,3,2,3,1,1,-,-,1,-,-,30 臺北市,1 一般
0001,國立政治大學,04123069,風險管理與保險學系,D 日,M 碩士,17,15,11,13,5,6,1,2,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04123069,風險管理與保險學系,D 日,B 學士,22,26,24,24,31,19,15,28,-,-,-,-,-,-,4,7,30 臺北市,1 一般
0001,國立政治大學,04131060,企業管理學系,D 日,D 博士,5,4,8,1,3,6,1,3,4,3,2,1,3,4,-,-,30 臺北市,1 一般
0001,國立政治大學,04131060,企業管理研究所(MBA學位學程),D 日,M 碩士,47,63,40,64,24,29,3,3,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04131060,企業管理學系,D 日,B 學士,43,59,42,65,51,47,43,56,-,-,-,-,-,-,18,22,30 臺北市,1 一般
0001,國立政治大學,04131062,經營管理碩士學程全球台商班,N 職,M 碩士,22,7,20,11,8,3,4,-,2,1,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04131062,經營管理碩士學程高階經營班,N 職,M 碩士,93,63,100,79,52,42,15,10,7,5,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04131064,國際經營管理英語碩士學位學程,D 日,M 碩士,30,31,24,22,13,13,9,6,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04134041,公共行政學系,D 日,D 博士,4,1,1,1,1,1,2,1,1,1,1,1,2,1,-,-,30 臺北市,1 一般
0001,國立政治大學,04134041,公共行政學系,D 日,M 碩士,16,21,13,26,8,19,11,14,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04134041,公共行政學系,D 日,B 學士,19,31,9,39,16,36,9,43,-,-,-,-,-,-,1,7,30 臺北市,1 一般
0001,國立政治大學,04134042,行政管理碩士學程,N 職,M 碩士,32,57,28,54,19,23,10,14,8,7,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04134042,行政管理碩士學程營區學位學程在職專班,N 職,M 碩士,20,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04134043,地政學系,D 日,D 博士,-,-,4,1,2,-,2,1,1,4,2,1,1,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04134043,地政學系,D 日,M 碩士,14,14,16,14,3,6,1,2,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04134043,地政學系,D 日,B 學士,60,72,60,59,68,65,47,67,-,-,-,-,-,-,16,5,30 臺北市,1 一般
0001,國立政治大學,04134043,地政學系,N 職,M 碩士,16,14,11,15,14,16,8,6,2,1,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04141067,國際經營與貿易學系,D 日,D 博士,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04141067,國際經營與貿易學系,D 日,M 碩士,22,27,20,23,5,11,1,4,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04141067,國際經營與貿易學系,D 日,B 學士,38,44,19,66,38,41,24,54,-,-,-,-,-,-,6,11,30 臺北市,1 一般
0001,國立政治大學,04143055,廣告學系,D 日,B 學士,-,-,-,-,24,74,20,82,-,-,-,-,-,-,7,17,30 臺北市,1 一般
0001,國立政治大學,04199072,科技管理與智慧財產研究所,D 日,D 博士,2,3,4,2,3,1,-,2,3,-,1,1,7,1,-,-,30 臺北市,1 一般
0001,國立政治大學,04199072,科技管理與智慧財產研究所,D 日,M 碩士,27,28,21,27,15,19,6,3,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04211073,法律學系,D 日,D 博士,5,2,2,3,4,2,8,4,4,5,5,2,4,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04211073,法律學系,D 日,M 碩士,32,33,35,28,37,25,29,32,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04211073,法律學系,D 日,B 學士,71,84,85,86,79,87,81,102,-,-,-,-,-,-,19,20,30 臺北市,1 一般
0001,國立政治大學,04211075,法學院碩士在職專班,N 職,M 碩士,28,35,34,26,23,29,34,24,16,13,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,04212074,法律科際整合研究所,D 日,M 碩士,14,11,15,12,11,16,10,14,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,05331077,應用物理研究所,D 日,M 碩士,3,-,2,1,2,1,1,-,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,05411078,應用數學系,D 日,D 博士,1,-,-,1,-,-,1,-,1,1,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,05411078,應用數學系,D 日,M 碩士,11,3,11,3,8,4,3,-,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,05411078,應用數學系,D 日,B 學士,39,6,33,6,32,8,28,11,-,-,-,-,-,-,17,5,30 臺北市,1 一般
0001,國立政治大學,05421079,統計學系,D 日,D 博士,-,-,-,-,1,-,-,-,-,1,1,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,05421079,統計學系,D 日,M 碩士,21,6,16,11,5,1,2,1,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,05421079,統計學系,D 日,B 學士,31,18,28,22,33,18,34,21,-,-,-,-,-,-,8,-,30 臺北市,1 一般
0001,國立政治大學,06131080,資訊管理學系,D 日,D 博士,4,6,8,-,8,3,4,1,7,2,6,-,9,-,-,-,30 臺北市,1 一般
0001,國立政治大學,06131080,資訊管理學系,D 日,M 碩士,23,20,22,10,7,2,-,-,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,06131080,資訊管理學系,D 日,B 學士,44,38,45,36,45,31,57,24,-,-,-,-,-,-,11,3,30 臺北市,1 一般
0001,國立政治大學,06131081,資訊科學系,D 日,D 博士,1,-,2,-,1,1,-,-,1,-,2,-,4,-,-,-,30 臺北市,1 一般
0001,國立政治大學,06131081,資訊科學系,D 日,M 碩士,33,4,24,11,22,4,10,1,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,06131081,資訊科學系,D 日,B 學士,40,8,37,11,36,8,43,7,-,-,-,-,-,-,9,7,30 臺北市,1 一般
0001,國立政治大學,06131081,資訊科學系,N 職,M 碩士,24,4,17,6,6,5,7,4,5,2,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,06131082,社群網路與人智計算國際研究生博士學位學程,D 日,D 博士,3,-,-,-,4,-,3,1,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,06134057,數位內容碩士學位學程,D 日,M 碩士,8,8,4,10,8,6,4,5,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,09121083,神經科學研究所,D 日,M 碩士,-,2,1,3,1,1,1,1,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,09231084,社會工作研究所,D 日,D 博士,2,2,-,-,1,2,-,-,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,09231084,社會工作研究所,D 日,M 碩士,5,17,4,9,4,11,1,8,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0002,國立清華大學,01111084,教育與學習科技學系,D 日,D 博士,3,10,5,6,5,6,1,4,5,4,-,6,5,6,-,-,18 新竹市,1 一般
0002,國立清華大學,01111084,教育與學習科技學系,D 日,M 碩士,8,34,5,31,4,11,5,11,-,3,1,-,-,-,-,-,18 新竹市,1 一般
0002,國立清華大學,01111084,教育與學習科技學系,D 日,B 學士,25,49,20,66,23,65,18,69,-,-,-,-,-,-,6,5,18 新竹市,1 一般
0002,國立清華大學,01111084,教育與學習科技學系馬?西亞境外碩士在職專班,N 職,M 碩士,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,18 新竹市,1 一般
0002,國立清華大學,01111084,教育與學習科技學系教育行政碩士在職專班,N 職,M 碩士,5,22,3,21,2,8,2,4,1,1,4,1,1,-,-,-,18 新竹市,1 一般
0002,國立清華大學,01111084,教育與學習科技學系課程與教學碩士在職專班(暑期班),N 職,M 碩士,3,24,-,23,2,12,1,8,1,2,-,2,1,5,-,-,18 新竹市,1 一般
0002,國立清華大學,01111110,學前特殊教育碩士在職學位學程,N 職,M 碩士,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18 新竹市,1 一般
0002,國立清華大學,01112083,人力資源與數位學習科技研究所,D 日,M 碩士,-,-,7,20,12,6,1,3,2,-,1,-,-,-,-,-,18 新竹市,1 一般
0002,國立清華大學,01113095,特殊教育學系,D 日,M 碩士,3,17,1,11,2,11,1,8,-,3,-,1,-,-,-,-,18 新竹市,1 一般
0002,國立清華大學,01113095,特殊教育學系,D 日,B 學士,12,28,7,43,10,41,6,35,-,-,-,-,-,-,1,2,18 新竹市,1 一般
0002,國立清華大學,01121091,幼兒教育學系,D 日,M 碩士,1,13,-,8,1,5,-,5,1,-,-,1,-,-,-,-,18 新竹市,1 一般
0002,國立清華大學,01121091,幼兒教育學系,D 日,B 學士,13,67,11,70,7,77,9,73,-,-,-,-,-,-,3,11,18 新竹市,1 一般
0002,國立清華大學,01121091,幼兒教育學系,N 職,M 碩士,1,13,1,19,-,-,1,8,-,-,-,-,-,-,-,-,18 新竹市,1 一般
0002,國立清華大學,01121091,幼兒教育學系幼稚園教師在職進修教學碩士學位班,N 職,M 碩士,-,-,-,-,-,-,-,-,-,-,1,2,-,8,-,-,18 新竹市,1 一般
0002,國立清華大學,01131085,數理教育研究所,D 日,M 碩士,10,15,9,13,7,3,2,1,-,1,1,1,-,-,-,-,18 新竹市,1 一般
0002,國立清華大學,01131085,數理教育研究所,N 職,M 碩士,6,12,3,15,2,13,-,-,-,-,-,-,-,-,-,-,18 新竹市,1 一般
0002,國立清華大學,01131085,數理教育研究所科學教育教師碩士在職專班,N 職,M 碩士,-,-,-,-,-,-,2,1,-,2,2,2,2,8,-,-,18 新竹市,1 一般
0002,國立清華大學,01131085,數理教育研究所數學教育教師碩士在職專班,N 職,M 碩士,-,-,-,-,-,-,2,2,1,2,1,1,1,4,-,-,18 新竹市,1 一般
0002,國立清華大學,01131105,英語教學系,D 日,M 碩士,-,10,-,6,-,4,-,-,-,-,-,-,-,-,-,-,18 新竹市,1 一般
0002,國立清華大學,01131105,英語教學系,D 日,B 學士,8,27,8,32,4,37,8,27,-,-,-,-,-,-,1,4,18 新竹市,1 一般
0002,國立清華大學,01141090,體育學系,D 日,M 碩士,6,3,7,3,4,1,2,3,-,-,-,-,-,-,-,-,18 新竹市,1 一般
0002,國立清華大學,01141090,體育學系,D 日,B 學士,30,14,31,12,30,20,25,17,-,-,-,-,-,-,11,8,18 新竹市,1 一般
0002,國立清華大學,01141090,體育學系體育碩士在職專班,N 職,M 碩士,8,4,6,3,9,3,-,-,3,1,-,-,-,2,-,-,18 新竹市,1 一般
0002,國立清華大學,01141098,藝術與設計學系美勞教師碩士在職專班,N 職,M 碩士,-,-,1,18,-,-,1,7,-,-,-,2,1,2,-,-,18 新竹市,1 一般
0002,國立清華大學,01141098,藝術與設計學系造形藝術碩士學位在職進修專班,N 職,M 碩士,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,18 新竹市,1 一般
0002,國立清華大學,02131098,藝術與設計學系藝術教育與創作碩士班,D 日,M 碩士,13,15,4,14,9,13,3,5,-,1,-,-,-,-,-,-,18 新竹市,1 一般
0002,國立清華大學,02131098,藝術與設計學系,D 日,B 學士,26,52,17,69,11,64,12,72,-,-,-,-,-,-,8,11,18 新竹市,1 一般
0002,國立清華大學,02151096,音樂學系,D 日,M 碩士,5,21,3,12,2,13,2,12,-,-,-,-,-,-,-,-,18 新竹市,1 一般
0002,國立清華大學,02151096,音樂學系,D 日,B 學士,10,33,7,21,5,25,8,30,-,-,-,-,-,-,2,1,18 新竹市,1 一般
0002,國立清華大學,02151096,音樂學系音樂教師碩士在職專班,N 職,M 碩士,-,-,-,7,-,6,1,5,-,-,1,2,-,1,-,-,18 新竹市,1 一般
0002,國立清華大學,02151096,音樂學系音樂碩士在職專班,N 職,M 碩士,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18 新竹市,1 一般
